City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lorengau,PG,77.05,light rain,-2.02,147.27,Lorengau Harbourside Hotel
1,Ushuaia,AR,30.2,scattered clouds,-54.8,-68.3,Albatros Hotel
2,Rikitea,PF,71.65,clear sky,-23.12,-134.97,Pension Maro'i
3,New Norfolk,AU,48.99,light rain,-42.78,147.06,The Shingles Riverside Cottages
4,Mahebourg,MU,73.4,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
5,Busselton,AU,64.99,few clouds,-33.65,115.33,Observatory Guest House
6,Zhigansk,RU,54.05,clear sky,66.77,123.37,Gostinichnyy Kompleks Aylgy
7,Qaanaaq,GL,35.91,overcast clouds,77.48,-69.36,Qaanaaq Hotel
8,Kysyl-Syr,RU,58.96,clear sky,63.9,122.76,
9,Muisne,EC,71.92,overcast clouds,0.6,-80.03,Quinta Samay
10,Yulara,AU,87.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
11,Punta Arenas,CL,33.8,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
12,Meulaboh,ID,85.42,light rain,4.14,96.13,Kost Pria
13,Methoni,GR,80.01,clear sky,36.82,21.7,Methoni Beach Hotel
14,Saint-Philippe,RE,77.0,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
15,Albany,US,66.99,overcast clouds,42.6,-73.97,
16,Karpathos,GR,78.8,few clouds,35.51,27.21,Alex
17,Bathsheba,BB,77.0,scattered clouds,13.22,-59.52,Atlantis Hotel
18,Natal,BR,69.8,clear sky,-5.79,-35.21,Villa Park Hotel | Natal
19,Upernavik,GL,43.43,overcast clouds,72.79,-56.15,Gina's Guesthouse - Upernavik
20,Cabo San Lucas,MX,84.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
21,Hilo,US,80.6,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
22,Ugoofaaru,MV,84.7,overcast clouds,5.67,73.0,Ungoofaaru Inn
23,Saskylakh,RU,58.96,clear sky,71.92,114.08,
24,Lixourion,GR,75.2,clear sky,38.2,20.43,Summery Hotel
25,Atuona,PF,77.94,clear sky,-9.8,-139.03,Villa Enata
26,Yerbogachen,RU,65.52,clear sky,61.28,108.01,
27,Solnechnyy,RU,68.88,overcast clouds,50.72,136.63,Hotel complex Pastoral
28,Bluff,NZ,52.0,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
29,Arraial Do Cabo,BR,66.92,broken clouds,-22.97,-42.03,Pousada Porto Praia
30,Chokurdakh,RU,37.9,overcast clouds,70.63,147.92,
