City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lorengau,PG,-2.02,147.27,77.05,92,100,19.33,light rain
1,Ushuaia,AR,-54.8,-68.3,30.2,80,40,4.7,scattered clouds
2,Rikitea,PF,-23.12,-134.97,71.65,83,2,18.48,clear sky
3,New Norfolk,AU,-42.78,147.06,48.99,76,39,1.99,light rain
4,Mahebourg,MU,-20.41,57.7,73.4,69,75,17.22,shower rain
5,Busselton,AU,-33.65,115.33,64.99,43,19,5.95,few clouds
6,Zhigansk,RU,66.77,123.37,54.05,45,0,7.0,clear sky
7,Qaanaaq,GL,77.48,-69.36,35.91,88,100,4.83,overcast clouds
8,Kysyl-Syr,RU,63.9,122.76,58.96,42,1,7.78,clear sky
9,Muisne,EC,0.6,-80.03,71.92,86,100,10.38,overcast clouds
10,Yulara,AU,-25.24,130.99,87.8,10,0,17.22,clear sky
11,Punta Arenas,CL,-53.15,-70.92,33.8,69,84,21.92,broken clouds
12,Meulaboh,ID,4.14,96.13,85.42,73,87,8.46,light rain
13,Methoni,GR,36.82,21.7,80.01,57,0,4.72,clear sky
14,Saint-Philippe,RE,-21.36,55.77,77.0,57,7,6.93,clear sky
15,Albany,US,42.6,-73.97,66.99,92,88,1.79,overcast clouds
16,Karpathos,GR,35.51,27.21,78.8,78,20,21.92,few clouds
17,Bathsheba,BB,13.22,-59.52,77.0,88,40,6.93,scattered clouds
18,Natal,BR,-5.79,-35.21,69.8,94,3,4.7,clear sky
19,Upernavik,GL,72.79,-56.15,43.43,84,100,3.38,overcast clouds
20,Cabo San Lucas,MX,22.89,-109.91,84.0,69,9,1.01,clear sky
21,Hilo,US,19.73,-155.09,80.6,74,90,2.17,overcast clouds
22,Ugoofaaru,MV,5.67,73.0,84.7,67,100,8.14,overcast clouds
23,Saskylakh,RU,71.92,114.08,58.96,46,0,13.22,clear sky
24,Lixourion,GR,38.2,20.43,75.2,88,0,2.35,clear sky
25,Atuona,PF,-9.8,-139.03,77.94,80,3,19.77,clear sky
26,Yerbogachen,RU,61.28,108.01,65.52,36,0,10.85,clear sky
27,Solnechnyy,RU,50.72,136.63,68.88,71,100,4.63,overcast clouds
28,Bluff,NZ,-46.6,168.33,52.0,91,99,5.99,overcast clouds
29,Arraial Do Cabo,BR,-22.97,-42.03,66.92,61,71,10.67,broken clouds
30,Chokurdakh,RU,70.63,147.92,37.9,76,100,10.22,overcast clouds
31,Kapaa,US,22.08,-159.32,80.6,78,40,14.99,scattered clouds
32,Castro,BR,-24.79,-50.01,48.63,89,89,11.79,overcast clouds
33,Narsaq,GL,60.92,-46.05,44.6,75,0,3.36,clear sky
34,Voh,NC,-20.97,164.7,69.87,73,8,7.56,clear sky
35,Thompson,CA,55.74,-97.86,50.0,100,90,11.41,mist
36,Tilichiki,RU,60.47,166.1,50.16,61,5,11.36,clear sky
37,Liverpool,GB,53.41,-2.98,57.99,71,40,8.05,scattered clouds
38,Pevek,RU,69.7,170.31,38.26,95,100,3.98,light rain
39,Alugan,PH,12.22,125.48,85.91,66,4,5.7,light rain
40,Dikson,RU,73.51,80.55,46.22,82,0,14.23,clear sky
41,Halvad,IN,23.02,71.18,78.69,90,100,11.86,moderate rain
42,Dawson,US,31.77,-84.45,77.0,94,1,8.05,light rain
43,Atbasar,KZ,51.8,68.33,66.11,51,87,7.05,overcast clouds
44,Kirakira,SB,-10.45,161.92,81.72,74,100,3.96,overcast clouds
45,Lensk,RU,60.73,114.93,68.05,29,0,9.78,clear sky
46,Ancud,CL,-41.87,-73.82,39.0,100,90,11.41,overcast clouds
47,Tuktoyaktuk,CA,69.45,-133.04,60.8,82,75,4.7,broken clouds
48,Cape Town,ZA,-33.93,18.42,57.99,93,40,14.99,scattered clouds
49,Carnarvon,AU,-24.87,113.63,69.8,56,0,18.34,clear sky
50,Novki,RU,56.36,41.08,70.34,61,67,11.3,broken clouds
51,Cidreira,BR,-30.18,-50.21,60.06,80,0,15.48,clear sky
52,Nikolskoye,RU,59.7,30.79,62.6,82,75,6.71,broken clouds
53,Amudat,UG,1.95,34.95,75.51,56,44,2.73,light rain
54,Airai,TL,-8.93,125.41,73.45,40,0,7.74,clear sky
55,Opuwo,NA,-18.06,13.84,70.72,23,4,5.99,clear sky
56,Tiksi,RU,71.69,128.87,40.8,72,6,13.53,clear sky
57,Vaini,TO,-21.2,-175.2,75.2,94,20,5.82,few clouds
58,Seddon,AU,-37.81,144.89,52.0,71,90,12.75,overcast clouds
59,Kruisfontein,ZA,-34.0,24.73,55.99,94,100,1.01,light rain
60,Champerico,GT,14.3,-91.92,77.13,90,100,5.64,moderate rain
61,Mataura,NZ,-46.19,168.86,52.0,91,40,5.99,scattered clouds
62,Ponta Do Sol,PT,32.67,-17.1,73.4,73,20,20.8,few clouds
63,Sur,OM,22.57,59.53,87.19,60,0,10.33,clear sky
64,Guerrero Negro,MX,27.98,-114.06,73.92,76,0,17.6,clear sky
65,Yellowknife,CA,62.46,-114.35,53.01,87,75,2.57,broken clouds
66,Antalaha,MG,-14.9,50.28,74.93,73,95,9.86,light rain
67,Corralillo,CU,22.98,-80.59,83.03,75,84,19.06,broken clouds
68,Sungurlare,BG,42.77,26.78,78.8,68,5,4.7,clear sky
69,Clyde River,CA,70.47,-68.59,41.14,93,100,6.38,light rain
70,Lebu,CL,-37.62,-73.65,49.84,91,100,17.96,light rain
71,Kabanjahe,ID,3.1,98.49,87.8,70,40,14.99,scattered clouds
72,Lompoc,US,34.64,-120.46,66.99,88,1,4.38,clear sky
73,Longyearbyen,SJ,78.22,15.64,41.0,74,20,8.05,few clouds
74,Micheweni,TZ,-4.97,39.83,79.36,67,54,9.31,broken clouds
75,Nome,US,64.5,-165.41,53.6,76,90,6.93,overcast clouds
76,Iralaya,HN,15.0,-83.23,80.55,82,81,5.95,broken clouds
77,Yar-Sale,RU,66.83,70.83,61.38,71,73,13.71,broken clouds
78,Kargopol,RU,61.51,38.95,60.66,88,100,6.76,overcast clouds
79,Bethel,US,41.37,-73.41,71.01,100,90,0.74,mist
80,Port Alfred,ZA,-33.59,26.89,61.14,77,100,8.55,overcast clouds
81,College,US,64.86,-147.8,57.2,87,75,4.7,broken clouds
82,Buala,SB,-8.14,159.59,82.08,78,49,6.44,light rain
83,Iguape,BR,-24.71,-47.56,60.03,82,7,5.88,clear sky
84,Mackay,AU,-21.15,149.2,73.0,56,0,16.11,clear sky
85,Cherskiy,RU,68.75,161.3,39.0,94,100,5.73,light rain
86,Vao,NC,-22.67,167.48,70.57,70,73,11.18,broken clouds
87,Hobart,AU,-42.88,147.33,48.99,75,75,9.17,light intensity shower rain
88,Moratuwa,LK,6.77,79.88,87.8,70,40,8.05,scattered clouds
89,Norman Wells,CA,65.28,-126.83,62.6,55,20,8.05,few clouds
90,Puerto Ayora,EC,-0.74,-90.35,64.99,91,14,8.01,few clouds
91,Alyangula,AU,-13.85,136.42,84.2,28,0,13.87,clear sky
92,Ligayan,PH,4.65,119.47,84.87,70,82,8.86,broken clouds
93,Along,IN,28.17,94.77,93.16,48,17,3.8,few clouds
94,Port Lincoln,AU,-34.73,135.87,53.44,69,66,5.39,broken clouds
95,Grindavik,IS,63.84,-22.43,46.4,100,4,5.82,fog
96,Georgetown,MY,5.41,100.34,91.4,66,20,8.05,few clouds
97,Iqaluit,CA,63.75,-68.51,39.2,93,90,3.36,overcast clouds
98,Mogadishu,SO,2.04,45.34,78.8,69,75,13.87,broken clouds
99,Kismayo,SO,-0.36,42.55,80.83,63,3,15.19,clear sky
100,Tuatapere,NZ,-46.13,167.68,52.0,91,33,5.99,scattered clouds
101,Tisul,RU,55.76,88.31,65.39,74,5,7.92,light rain
102,Nemuro,JP,43.32,145.57,69.8,83,40,8.05,scattered clouds
103,Pala,TD,9.36,14.9,70.59,95,99,5.88,moderate rain
104,Mehamn,NO,71.04,27.85,55.4,82,75,13.87,broken clouds
