City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Trinidad,BO,2020-08-24 00:20:57,-14.83,-64.9,72.05,49,0,3.76
1,Rupert,US,2020-08-24 00:20:57,42.62,-113.68,93.2,16,1,4.7
2,Westport,US,2020-08-24 00:19:41,41.14,-73.36,77.0,86,43,8.28
3,Punta Arenas,CL,2020-08-24 00:14:09,-53.15,-70.92,33.8,80,75,23.04
4,Ponta Do Sol,PT,2020-08-24 00:16:34,32.67,-17.1,75.2,64,20,19.46
5,Barrow,US,2020-08-24 00:15:30,71.29,-156.79,46.4,75,1,8.05
6,Saskylakh,RU,2020-08-24 00:15:23,71.92,114.08,48.06,65,0,10.04
7,Ushuaia,AR,2020-08-24 00:14:55,-54.8,-68.3,32.0,93,75,14.99
8,Hilo,US,2020-08-24 00:13:21,19.73,-155.09,82.0,74,90,6.76
9,Mataura,NZ,2020-08-24 00:15:19,-46.19,168.86,55.99,79,12,5.99
10,Airai,TL,2020-08-24 00:10:59,-8.93,125.41,67.8,39,38,6.08
11,Castro,BR,2020-08-24 00:15:55,-24.79,-50.01,47.32,95,15,10.0
12,Hirado,JP,2020-08-24 00:20:59,33.36,129.55,84.0,83,20,11.41
13,Iqaluit,CA,2020-08-24 00:15:38,63.75,-68.51,44.6,81,40,5.82
14,Araouane,ML,2020-08-24 00:21:01,18.9,-3.53,95.59,31,2,13.91
15,Yellowknife,CA,2020-08-24 00:15:09,62.46,-114.35,63.0,48,20,2.24
16,Jamestown,US,2020-08-24 00:14:49,42.1,-79.24,78.01,69,1,4.7
17,Carnarvon,AU,2020-08-24 00:15:47,-24.87,113.63,59.0,82,0,13.87
18,Da Nang,VN,2020-08-24 00:21:02,16.07,108.22,80.6,88,40,1.12
19,Hermanus,ZA,2020-08-24 00:15:09,-34.42,19.23,55.0,95,100,5.82
20,Santa Fe,AR,2020-08-24 00:18:18,-31.63,-60.7,64.0,48,0,5.99
21,Saldanha,ZA,2020-08-24 00:21:02,-33.01,17.94,51.8,87,65,4.7
22,Saint Anthony,US,2020-08-24 00:11:18,45.02,-93.22,87.8,45,5,6.93
23,Port Alfred,ZA,2020-08-24 00:14:58,-33.59,26.89,57.49,81,68,10.58
24,Oranjemund,NA,2020-08-24 00:15:00,-28.55,16.43,52.54,93,16,5.14
25,Dunedin,NZ,2020-08-24 00:16:18,-45.87,170.5,50.0,92,100,1.99
26,Kozhevnikovo,RU,2020-08-24 00:21:03,56.26,83.97,53.01,93,1,4.09
27,Leningradskiy,RU,2020-08-24 00:11:27,69.38,178.42,44.26,86,98,12.62
28,Mantua,IT,2020-08-24 00:21:04,45.17,10.78,68.0,91,41,1.01
